ticker symbol,company,sector,location
MA,Mastercard Inc.,Information Technology,"Harrison, New York"
MAT,Mattel Inc.,Consumer Discretionary,"El Segundo, California"
MKC,McCormick & Co.,Consumer Staples,"Sparks, Maryland"
MCD,McDonald's Corp.,Consumer Discretionary,"Oak Brook, Illinois"
MCK,McKesson Corp.,Health Care,"San Francisco, California"
MDT,Medtronic plc,Health Care,Dublin
MRK,Merck & Co.,Health Care,"Whitehouse Station, New Jersey"
MET,MetLife Inc.,Financials,"New York, New York"
MTD,Mettler Toledo,Health Care,"Columbus, Ohio"
MGM,MGM Resorts International,Consumer Discretionary,"Paradise, Nevada"
KORS,Michael Kors Holdings,Consumer Discretionary,"New York, New York"
MCHP,Microchip Technology,Information Technology,"Chandler, Arizona"
MU,Micron Technology,Information Technology,"Boise, Idaho"
MSFT,Microsoft Corp.,Information Technology,"Redmond, Washington"
MAA,Mid-America Apartments,Real Estate,"Memphis, Tennessee"
MHK,Mohawk Industries,Consumer Discretionary,"Amsterdam, New York"
TAP,Molson Coors Brewing Company,Consumer Staples,"Denver, Colorado"
MDLZ,Mondelez International,Consumer Staples,"Northfield, Illinois"
MON,Monsanto Co.,Materials,"Creve Coeur, Missouri"
MNST,Monster Beverage,Consumer Staples,"Corona, California"
MCO,Moody's Corp,Financials,"New York, New York"
MS,Morgan Stanley,Financials,"New York, New York"
MOS,The Mosaic Company,Materials,"Plymouth, Minnesota"
MSI,Motorola Solutions Inc.,Information Technology,"Schaumburg, Illinois"
MYL,Mylan N.V.,Health Care,Amsterdam
NDAQ,"Nasdaq, Inc.",Financials,"New York, New York"
NOV,National Oilwell Varco Inc.,Energy,"Houston, Texas"
NAVI,Navient,Financials,"Wilmington, Delaware"
NTAP,NetApp,Information Technology,"Sunnyvale, California"
NFLX,Netflix Inc.,Information Technology,"Los Gatos, California"
NWL,Newell Brands,Consumer Discretionary,"Sandy Springs, Georgia"
NFX,Newfield Exploration Co,Energy,"Houston, Texas"
NEM,Newmont Mining Corporation,Materials,"Denver, Colorado"
NWSA,News Corp. Class A,Consumer Discretionary,"New York, New York"
NWS,News Corp. Class B,Consumer Discretionary,"New York, New York"
NEE,NextEra Energy,Utilities,"Juno Beach, Florida"
NLSN,Nielsen Holdings,Industrials,"New York, New York"
NKE,Nike,Consumer Discretionary,"Washington County, Oregon"
NI,NiSource Inc.,Utilities,"Merrillville, Indiana"
NBL,Noble Energy Inc,Energy,"Houston, Texas"
JWN,Nordstrom,Consumer Discretionary,"Seattle, Washington"
NSC,Norfolk Southern Corp.,Industrials,"Norfolk, Virginia"
NTRS,Northern Trust Corp.,Financials,"Chicago, Illinois"
NOC,Northrop Grumman Corp.,Industrials,"West Falls Church, Virginia"
NCLH,Norwegian Cruise Line,Consumer Discretionary,"Miami, Florida"
NRG,NRG Energy,Utilities,"Princeton, New Jersey"
NUE,Nucor Corp.,Materials,"Charlotte, North Carolina"
NVDA,Nvidia Corporation,Information Technology,"Santa Clara, California"
ORLY,O'Reilly Automotive,Consumer Discretionary,"Springfield, Missouri"
OXY,Occidental Petroleum,Energy,"Los Angeles, California"
OMC,Omnicom Group,Consumer Discretionary,"New York, New York"
OKE,ONEOK,Energy,"Tulsa, Oklahoma"
ORCL,Oracle Corp.,Information Technology,"Redwood Shores, California"
PCAR,PACCAR Inc.,Industrials,"Bellevue, Washington"
PKG,Packaging Corporation of America,Materials,"Lake Forest, Illinois"
PH,Parker-Hannifin,Industrials,"Cleveland, Ohio"
PDCO,Patterson Companies,Health Care,"St. Paul, Minnesota"
PAYX,Paychex Inc.,Information Technology,"Penfield, New York"
PYPL,PayPal,Information Technology,"San Jose, California"
PNR,Pentair Ltd.,Industrials,"Worsley, UK"
PBCT,People's United Financial,Financials,"Bridgeport, Connecticut"
PEP,PepsiCo Inc.,Consumer Staples,"Purchase, New York"
PKI,PerkinElmer,Health Care,"Waltham, Massachusetts"
PRGO,Perrigo,Health Care,"Dublin, Ireland"
PFE,Pfizer Inc.,Health Care,"New York, New York"
PCG,PG&E Corp.,Utilities,"San Francisco, California"
PM,Philip Morris International,Consumer Staples,"New York, New York"
PSX,Phillips 66,Energy,"Houston, Texas"
PNW,Pinnacle West Capital,Utilities,"Phoenix, Arizona"
PXD,Pioneer Natural Resources,Energy,"Irving, Texas"
PNC,PNC Financial Services,Financials,"Pittsburgh, Pennsylvania"
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,"New York, New York"
PPG,PPG Industries,Materials,"Pittsburgh, Pennsylvania"
PPL,PPL Corp.,Utilities,"Allentown, Pennsylvania"
PX,Praxair Inc.,Materials,"Danbury, Connecticut"
PCLN,Priceline.com Inc,Consumer Discretionary,"Norwalk, Connecticut"
PFG,Principal Financial Group,Financials,"Des Moines, Iowa"
PG,Procter & Gamble,Consumer Staples,"Cincinnati, Ohio"
PGR,Progressive Corp.,Financials,"Mayfield Village, Ohio"
PLD,Prologis,Real Estate,"San Francisco, California"
PRU,Prudential Financial,Financials,"Newark, New Jersey"
PEG,Public Serv. Enterprise Inc.,Utilities,"Newark, New Jersey"
PSA,Public Storage,Real Estate,"Glendale, California"
PHM,Pulte Homes Inc.,Consumer Discretionary,"Atlanta, Georgia"
PVH,PVH Corp.,Consumer Discretionary,"New York, New York"
QRVO,Qorvo,Information Technology,"Greensboro, North Carolina"
PWR,Quanta Services Inc.,Industrials,"Houston, Texas"
QCOM,QUALCOMM Inc.,Information Technology,"San Diego, California"
DGX,Quest Diagnostics,Health Care,"Madison, New Jersey"
RRC,Range Resources Corp.,Energy,"Fort Worth, Texas"
RJF,Raymond James Financial Inc.,Financials,"St. Petersburg, Florida"
RTN,Raytheon Co.,Industrials,"Waltham, Massachusetts"
O,Realty Income Corporation,Real Estate,"San Diego, California"
RHT,Red Hat Inc.,Information Technology,"Raleigh, North Carolina"
REG,Regency Centers Corporation,Real Estate,"Jacksonville, Florida"
REGN,Regeneron,Health Care,"Tarrytown, New York"
RF,Regions Financial Corp.,Financials,"Birmingham, Alabama"
RSG,Republic Services Inc,Industrials,"Phoenix, Arizona"
RMD,ResMed,Health Care,"San Diego, California"
RHI,Robert Half International,Industrials,"Menlo Park, California"
ROK,Rockwell Automation Inc.,Industrials,"Milwaukee, Wisconsin"
COL,Rockwell Collins,Industrials,"Cedar Rapids, Iowa"
ROP,Roper Technologies,Industrials,"Sarasota, Florida"
ROST,Ross Stores,Consumer Discretionary,"Pleasanton, California"
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Miami, Florida"
CRM,Salesforce.com,Information Technology,"San Francisco, California"
SBAC,SBA Communications,Real Estate,"Boca Raton, Florida"
SCG,SCANA Corp,Utilities,"Cayce, South Carolina"
SLB,Schlumberger Ltd.,Energy,Curaçao
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,"Cincinnati, Ohio"
STX,Seagate Technology,Information Technology,"Dublin, Ireland"
SEE,Sealed Air,Materials,"Elmwood Park, New Jersey"
SRE,Sempra Energy,Utilities,"San Diego, California"
SHW,Sherwin-Williams,Materials,"Cleveland, Ohio"
SIG,Signet Jewelers,Consumer Discretionary,"Hamilton, Bermuda"
SPG,Simon Property Group Inc,Real Estate,"Indianapolis, Indiana"
SWKS,Skyworks Solutions,Information Technology,"Woburn, Massachusetts"
SLG,SL Green Realty,Real Estate,"New York, New York"
SNA,Snap-On Inc.,Consumer Discretionary,"Kenosha, Wisconsin"
SO,Southern Co.,Utilities,"Atlanta, Georgia"
LUV,Southwest Airlines,Industrials,"Dallas, Texas"
SPGI,"S&P Global, Inc.",Financials,"New York, New York"
